experiment,epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,time_sec,include_proj_layers,weight_decay
ft0_lr002,1,2.0483002395629883,33.62,83.98,1.7668804044723512,31.7,85.9625,0.02,17.068267345428467,0,0.0
ft0_lr002,2,1.722168994140625,33.88,88.38,1.6805435199737548,40.05,91.5375,0.01999657324975557,17.399121522903442,0,0.0
ft0_lr002,3,1.545576139831543,41.3,91.12,1.5223927593231201,44.4625,93.125,0.019986295347545736,17.961121320724487,0,0.0
ft0_lr002,4,1.4283604888916015,47.84,93.72,1.4734699649810792,46.3625,92.75,0.01996917333733128,13.109342336654663,0,0.0
ft0_lr002,5,1.3297298721313477,50.62,95.18,1.8579319629669189,42.5,91.575,0.01994521895368273,20.75367546081543,0,0.0
ft0_lr002,6,1.2257109107971191,54.62,95.4,1.1714159641265869,56.4875,96.65,0.019914448613738103,28.613085746765137,0,0.0
ft0_lr002,7,1.1663585334777833,57.86,96.1,1.1623219475746154,57.625,96.025,0.019876883405951378,27.714932918548584,0,0.0
ft0_lr002,8,1.0965734992980958,60.4,96.5,1.1832619714736938,58.2125,95.3,0.019832549075639548,28.27511978149414,0,0.0
ft0_lr002,9,1.015270499420166,63.74,97.34,1.2927983379364014,55.45,96.125,0.019781476007338056,28.12411403656006,0,0.0
ft0_lr002,10,0.9861399116516113,63.72,97.62,1.1717577180862426,58.1875,96.15,0.019723699203976763,25.146028757095337,0,0.0
ft0_lr002,11,0.917101789855957,66.64,97.78,0.8722445139884949,68.2875,98.25,0.01965925826289068,26.11029028892517,0,0.0
ft0_lr002,12,0.8682459587097168,69.62,98.04,1.043710392475128,64.05,96.4,0.01958819734868193,27.091838359832764,0,0.0
ft0_lr002,13,0.8364015151977539,70.16,98.08,1.0393308815956115,64.4,97.3,0.019510565162951535,19.887314558029175,0,0.0
ft0_lr002,14,0.8210859596252441,70.4,98.22,0.9961397981643677,64.0375,97.8125,0.019426414910921785,12.543466567993164,0,0.0
ft0_lr002,15,0.7761502201080323,71.88,98.64,1.0461847262382507,64.025,97.475,0.019335804264972018,18.598115921020508,0,0.0
ft0_lr002,16,0.753231400680542,73.22,98.46,0.8337807462215424,70.3,98.325,0.01923879532511287,19.213643074035645,0,0.0
ft0_lr002,17,0.7354648330688477,73.8,98.34,0.896331832408905,69.175,98.1375,0.01913545457642601,19.18630075454712,0,0.0
ft0_lr002,18,0.7490411277770996,72.74,98.46,0.8313680696487427,71.75,97.9875,0.01902585284349861,19.84339451789856,0,0.0
ft0_lr002,19,0.7004024338722229,74.02,98.72,0.8536407916545868,71.0,98.1125,0.018910065241883683,22.42009663581848,0,0.0
ft0_lr002,20,0.6531633125305176,76.9,99.04,1.0311363701820373,68.0125,97.4125,0.01878817112661966,24.75705862045288,0,0.0
ft0_lr002,21,0.7038695724487305,74.42,98.46,0.867165915966034,70.8875,98.0375,0.018660254037844392,28.883216619491577,0,0.0
ft0_lr002,22,0.6456180896759033,76.5,98.96,0.8153765799999237,72.525,98.5875,0.018526401643540927,28.640761375427246,0,0.0
ft0_lr002,23,0.7074639712333679,74.88,98.78,0.8286261591911316,72.6875,98.325,0.018386705679454246,25.404959678649902,0,0.0
ft0_lr002,24,0.6218745094299316,77.66,99.2,0.8375109539031983,71.625,98.0,0.01824126188622016,29.769864559173584,0,0.0
ft0_lr002,25,0.5953896446228027,78.62,99.02,0.8336083369255066,72.9125,98.5625,0.01809016994374948,29.14581561088562,0,0.0
ft0_lr002,26,0.5904731021881103,79.02,99.24,0.7265556602478027,75.3125,98.7625,0.017933533402912358,29.282302379608154,0,0.0
ft0_lr002,27,0.5647463069915771,79.96,99.08,0.7824382421970367,73.4875,98.525,0.017771459614569714,29.12413215637207,0,0.0
ft0_lr002,28,0.5483906269073486,80.86,99.2,0.874362964630127,72.0375,98.4625,0.017604059656000315,28.601447343826294,0,0.0
ft0_lr002,29,0.5387530090332031,80.44,99.32,0.7462606797218323,75.3,98.625,0.017431448254773947,25.001868963241577,0,0.0
ft0_lr002,30,0.5187468635559082,81.12,99.12,0.9993923268318177,70.425,96.7625,0.01725374371012288,28.524729251861572,0,0.0
ft0_lr002,31,0.5115015825271606,81.46,99.42,0.7865426237583161,74.3,98.4625,0.01707106781186548,28.211630821228027,0,0.0
ft0_lr002,32,0.5070901649475098,82.0,99.34,0.7837777705192566,74.0125,98.3,0.01688354575693754,26.656348943710327,0,0.0
ft0_lr002,33,0.44149446954727173,84.48,99.4,0.8490486085414887,72.9625,97.9625,0.016691306063588582,23.412208080291748,0,0.0
ft0_lr002,34,0.4550721311569214,84.52,99.44,0.7997985777854919,75.775,98.1625,0.016494480483301835,26.231982231140137,0,0.0
ft0_lr002,35,0.47827548513412477,83.38,99.4,0.7790368025302887,75.2375,98.425,0.016293203910498374,25.90141463279724,0,0.0
ft0_lr002,36,0.4476684741973877,84.06,99.58,0.8057417514324188,74.2125,98.4625,0.016087614290087204,26.44601082801819,0,0.0
ft0_lr002,37,0.4687003949403763,84.0,99.46,0.8452871022224426,73.225,98.6125,0.01587785252292473,26.622823476791382,0,0.0
ft0_lr002,38,0.39788904514312745,86.02,99.6,0.7512587940692902,75.9,98.525,0.015664062369248326,26.344969034194946,0,0.0
ft0_lr002,39,0.40285885610580446,85.86,99.52,0.6914578354358674,77.6625,98.8375,0.015446390350150269,20.92994213104248,0,0.0
ft0_lr002,40,0.3777073928833008,87.0,99.62,0.7475749955177308,77.5125,98.65,0.015224985647159486,24.00408124923706,0,0.0
ft0_lr002,41,0.38230884294509887,86.84,99.62,0.7484477684497833,77.0125,98.725,0.014999999999999998,24.238306760787964,0,0.0
ft0_lr002,42,0.349671755027771,87.86,99.72,0.7541098079681396,77.6625,98.4875,0.014771587602596083,22.103180646896362,0,0.0
ft0_lr002,43,0.3666804446220398,87.74,99.58,0.7710076299905777,77.4,98.625,0.014539904997395464,25.033323049545288,0,0.0
ft0_lr002,44,0.36885882396698,87.36,99.52,0.685674514055252,79.1875,98.575,0.014305110968082948,24.99425959587097,0,0.0
ft0_lr002,45,0.35601447925567625,87.38,99.66,0.7252499876022339,78.475,98.6625,0.014067366430757998,25.6006977558136,0,0.0
